Weapon (Click for note),Right - 1H Light #1,Right - 1H Light #2,Right - 1H Heavy #1,Right - 1H Heavy #2,Right - 1H Light Running,Right - 1H Light Rolling,Right - 1H Light Backstep,Right - 1H Falling,Right - 1H Landing,Right - 1H Jumping,2H Light #1,2H Light #2,2H Heavy #1,2H Heavy #2,Right - 2H Light Running,Right - 2H Light Rolling,Right - 2H Light Backstep,Right - 2H Falling,Right - 2H Landing,Right - 2H Jumping,Chain 1 #1,Chain 1 #2,Chain 2 #1,Chain 2 #2,Chain Running,Chain Rolling,Chain Backstep,Chain Falling,Chain Landing,Chain Jumping,Right - Powerstance - Light #1,Right - Powerstance - Light #2,Right - Powerstance - Heavy #1,Right - Powerstance - Heavy #2,Right - Powerstance - Light Running,Right - Powerstance - Light Rolling,Right - Powerstance - Light Backstep,Right - Powerstance - Falling,Right - Powerstance - Landing,Right - Powerstance - Jumping,Left - 1H Light #1,Left - 1H Light #2,Left - 1H Heavy #1,Left - 1H Heavy #2,Left - 1H Light Running,Left - 1H Light Rolling,Left - 1H Light Backstep,Left - 1H Falling,Left - 1H Landing,Left - 1H Jumping,Left - 2H Light,Left - 2H Heavy,Left - Powerstance - Light #1,Left - Powerstance - Light #2,Left - Powerstance - Heavy,Guard Break #1,Guard Break #2,Shield Poke 1 #1,Shield Poke 1 #2,Shield Poke 2 #1,Shield Poke 2 #2,Riposte,Guard Break Stab,Backstab
Roaring Halberd,28.12,31.08,41.44,42.92,22.20,22.20,22.20,48.84,48.84,48.84,35.14,38.84,51.80,53.64,27.74,27.74,27.74,61.04,61.04,61.04,39.37,43.51,58.02,60.09,31.08,31.08,31.08,68.38,68.38,68.38,28.12,31.08,41.44,42.92,22.20,22.20,22.20,48.84,48.84,48.84,30.37,33.57,44.76,46.35,23.98,23.98,23.98,52.75,52.75,52.75,37.95,41.94,30.37,33.57,44.76,22.50,22.50,36.56,40.40,53.87,55.80,29.60,29.60,29.60
Royal Dirk,19.57,21.63,28.84,29.87,15.45,15.45,15.45,33.99,33.99,33.99,24.45,27.03,36.05,37.33,19.30,19.30,19.30,42.48,42.48,42.48,27.40,30.28,40.38,41.82,21.63,21.63,21.63,47.59,47.59,47.59,19.57,21.63,28.84,29.87,15.45,15.45,15.45,33.99,33.99,33.99,21.14,23.36,31.15,32.26,16.69,16.69,16.69,36.71,36.71,36.71,26.41,29.19,21.14,23.36,31.15,15.66,15.66,25.44,28.12,37.49,38.83,20.60,20.60,20.60
Royal Greatsword,25.37,28.04,37.38,38.72,20.03,20.03,20.03,44.06,44.06,44.06,31.69,35.03,46.73,48.38,25.02,25.02,25.02,55.06,55.06,55.06,35.51,39.25,52.33,54.20,28.04,28.04,28.04,61.68,61.68,61.68,25.37,28.04,37.38,38.72,20.03,20.03,20.03,44.06,44.06,44.06,27.39,30.28,40.37,41.81,21.63,21.63,21.63,47.58,47.58,47.58,34.23,37.83,27.39,30.28,40.37,20.29,20.29,32.97,36.45,48.59,50.33,26.70,26.70,26.70
Royal Kite Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Ruler's Sword,29.26,32.34,43.12,44.66,23.10,23.10,23.10,50.82,50.82,50.82,36.56,40.41,53.90,55.81,28.86,28.86,28.86,63.51,63.51,63.51,40.96,45.28,60.37,62.52,32.34,32.34,32.34,71.15,71.15,71.15,29.26,32.34,43.12,44.66,23.10,23.10,23.10,50.82,50.82,50.82,31.60,34.93,46.57,48.23,24.95,24.95,24.95,54.89,54.89,54.89,39.49,43.64,31.60,34.93,46.57,23.41,23.41,38.04,42.04,56.06,58.06,30.80,30.80,30.80
Sacred Chime Hammer,25.65,28.35,37.80,39.15,20.25,20.25,20.25,44.55,44.55,44.55,32.05,35.42,47.25,48.92,25.30,25.30,25.30,55.67,55.67,55.67,35.91,39.69,52.92,54.81,28.35,28.35,28.35,62.37,62.37,62.37,25.65,28.35,37.80,39.15,20.25,20.25,20.25,44.55,44.55,44.55,27.70,30.62,40.82,42.28,21.87,21.87,21.87,48.11,48.11,48.11,34.61,38.26,27.70,30.62,40.82,20.52,20.52,33.35,36.86,49.14,50.90,27.00,27.00,27.00
Sanctum Crossbow,40.85,45.15,60.20,62.35,15.90,15.90,15.90,34.98,34.98,34.98,51.04,56.42,75.25,77.92,19.86,19.86,19.86,43.71,43.71,43.71,28.20,31.16,41.55,43.04,22.26,22.26,22.26,48.97,48.97,48.97,20.14,22.26,29.68,30.74,15.90,15.90,15.90,34.98,34.98,34.98,44.12,48.76,65.02,67.34,17.17,17.17,17.17,37.78,37.78,37.78,27.18,75.11,21.75,24.04,32.05,16.11,16.11,26.18,28.94,38.58,39.96,21.20,21.20,21.20
Sanctum Mace,37.81,41.79,55.72,57.71,29.85,29.85,29.85,65.67,65.67,65.67,47.24,52.22,69.65,72.12,37.29,37.29,37.29,82.07,82.07,82.07,52.93,58.51,78.01,80.79,41.79,41.79,41.79,91.94,91.94,91.94,37.81,41.79,55.72,57.71,29.85,29.85,29.85,65.67,65.67,65.67,40.83,45.13,60.18,62.33,32.24,32.24,32.24,70.92,70.92,70.92,51.02,56.40,40.83,45.13,60.18,30.25,30.25,49.15,54.33,72.44,75.02,39.80,39.80,39.80
Sanctum Repeating Crossbow,42.85,47.36,63.14,65.40,16.73,16.73,16.73,36.80,36.80,36.80,53.53,59.17,78.93,81.72,20.90,20.90,20.90,45.98,45.98,45.98,29.66,32.78,43.71,45.27,23.42,23.42,23.42,51.51,51.51,51.51,21.19,23.42,31.22,32.34,16.73,16.73,16.73,36.80,36.80,36.80,46.27,51.14,68.19,70.63,18.06,18.06,18.06,39.74,39.74,39.74,28.59,79.01,22.88,25.29,33.72,16.95,16.95,27.54,30.44,40.59,42.04,22.30,22.30,22.30
Sanctum Shield,19.38,21.42,34.30,35.53,15.30,15.30,15.30,33.66,33.66,33.66,24.21,26.76,42.88,44.39,19.11,19.11,19.11,42.06,42.06,42.06,27.13,29.99,39.98,41.41,21.42,21.42,21.42,47.12,47.12,47.12,19.38,21.42,28.56,29.58,15.30,15.30,15.30,33.66,33.66,33.66,20.93,23.13,37.04,38.37,16.52,16.52,16.52,36.35,36.35,36.35,26.15,28.91,20.93,23.13,30.84,15.50,15.50,25.19,27.85,37.13,38.45,20.40,20.40,20.40
Santier's Spear (Broken),27.17,30.03,40.04,41.47,21.45,21.45,21.45,47.19,47.19,47.19,33.95,37.52,50.05,51.82,26.80,26.80,26.80,58.97,58.97,58.97,38.04,42.04,56.06,58.06,30.03,30.03,30.03,66.07,66.07,66.07,27.17,30.03,40.04,41.47,21.45,21.45,21.45,47.19,47.19,47.19,29.34,32.43,43.24,44.79,23.17,23.17,23.17,50.97,50.97,50.97,36.67,40.53,29.34,32.43,43.24,21.74,21.74,35.32,39.04,52.05,53.91,28.60,28.60,28.60
Santier's Spear (Unbroken),27.17,30.03,40.04,41.47,21.45,21.45,21.45,47.19,47.19,47.19,33.95,37.52,50.05,51.82,26.80,26.80,26.80,58.97,58.97,58.97,38.04,42.04,56.06,58.06,30.03,30.03,30.03,66.07,66.07,66.07,27.17,30.03,40.04,41.47,21.45,21.45,21.45,47.19,47.19,47.19,29.34,32.43,43.24,44.79,23.17,23.17,23.17,50.97,50.97,50.97,36.67,40.53,29.34,32.43,43.24,21.74,21.74,35.32,39.04,52.05,53.91,28.60,28.60,28.60
Scimitar,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,23.50,25.98,34.65,35.88,18.55,18.55,18.55,40.83,40.83,40.83,26.33,29.11,38.81,40.19,20.79,20.79,20.79,45.74,45.74,45.74,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,20.31,22.45,29.94,31.01,16.04,16.04,16.04,35.28,35.28,35.28,25.38,28.06,20.31,22.45,29.94,15.05,15.05,24.45,27.03,36.04,37.32,19.80,19.80,19.80
Scythe,29.07,32.13,42.84,44.37,22.95,22.95,22.95,50.49,50.49,50.49,36.32,40.15,53.55,55.45,28.67,28.67,28.67,63.10,63.10,63.10,40.70,44.98,59.98,62.12,32.13,32.13,32.13,70.69,70.69,70.69,29.07,32.13,42.84,44.37,22.95,22.95,22.95,50.49,50.49,50.49,31.40,34.70,46.27,47.92,24.79,24.79,24.79,54.53,54.53,54.53,39.23,43.36,31.40,34.70,46.27,23.26,23.26,37.79,41.77,55.69,57.68,30.60,30.60,30.60
Scythe of Nahr Alma,27.65,30.56,40.74,42.20,21.83,21.83,21.83,48.02,48.02,48.02,34.54,38.18,50.93,52.73,27.27,27.27,27.27,60.00,60.00,60.00,38.70,42.78,57.04,59.07,30.56,30.56,30.56,67.22,67.22,67.22,27.65,30.56,40.74,42.20,21.83,21.83,21.83,48.02,48.02,48.02,29.86,33.00,44.00,45.57,23.57,23.57,23.57,51.86,51.86,51.86,37.31,41.23,29.86,33.00,44.00,22.12,22.12,35.94,39.72,52.96,54.85,29.10,29.10,29.10
Scythe of the Forlorn,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,33.35,36.87,49.18,50.92,26.33,26.33,26.33,57.94,57.94,57.94,37.37,41.31,55.08,57.04,29.51,29.51,29.51,64.91,64.91,64.91,26.70,29.51,39.34,40.75,21.08,21.08,21.08,46.37,46.37,46.37,28.83,31.87,42.49,44.00,22.76,22.76,22.76,50.07,50.07,50.07,36.02,39.82,28.83,31.87,42.49,21.36,21.36,34.70,38.36,51.14,52.97,28.10,28.10,28.10
Scythe of Want,32.30,35.70,47.60,49.30,25.50,25.50,25.50,56.10,56.10,56.10,40.36,44.61,59.50,61.61,31.86,31.86,31.86,70.11,70.11,70.11,45.22,49.98,66.64,69.02,35.70,35.70,35.70,78.54,78.54,78.54,32.30,35.70,47.60,49.30,25.50,25.50,25.50,56.10,56.10,56.10,34.88,38.56,51.41,53.24,27.54,27.54,27.54,60.59,60.59,60.59,43.59,48.18,34.88,38.56,51.41,25.84,25.84,41.99,46.41,61.88,64.09,34.00,34.00,34.00
Sea Bow,35.53,39.27,52.36,54.23,14.48,14.48,14.48,31.85,31.85,31.85,44.39,49.07,65.45,67.77,18.08,18.08,18.08,39.80,39.80,39.80,25.67,28.37,37.83,39.18,20.27,20.27,20.27,44.58,44.58,44.58,18.34,20.27,27.02,27.99,14.48,14.48,14.48,31.85,31.85,31.85,38.37,42.41,56.55,58.57,15.63,15.63,15.63,34.39,34.39,34.39,24.74,27.35,19.80,21.89,29.18,14.67,14.67,23.84,26.34,35.13,36.38,19.30,19.30,19.30
Shadow Dagger,14.82,16.38,21.84,22.62,11.70,11.70,11.70,25.74,25.74,25.74,18.52,20.47,27.30,28.27,14.62,14.62,14.62,32.17,32.17,32.17,20.75,22.93,30.58,31.67,16.38,16.38,16.38,36.04,36.04,36.04,14.82,16.38,21.84,22.62,11.70,11.70,11.70,25.74,25.74,25.74,16.01,17.69,23.59,24.43,12.64,12.64,12.64,27.80,27.80,27.80,20.00,22.11,16.01,17.69,23.59,11.86,11.86,19.27,21.29,28.39,29.41,15.60,15.60,15.60
Shield Crossbow,40.57,44.84,59.78,61.92,14.40,14.40,14.40,31.68,31.68,31.68,50.68,56.02,74.73,77.37,17.99,17.99,17.99,39.59,39.59,39.59,25.54,28.22,37.63,38.98,20.16,20.16,20.16,44.35,44.35,44.35,18.24,20.16,26.88,27.84,14.40,14.40,14.40,31.68,31.68,31.68,43.81,48.42,64.56,66.87,15.55,15.55,15.55,34.21,34.21,34.21,24.61,27.21,19.70,21.77,29.03,14.59,14.59,23.71,26.21,34.94,36.19,19.20,19.20,19.20
Shield of the Insolent,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Short Bow,30.50,33.71,44.94,46.55,12.38,12.38,12.38,27.23,27.23,27.23,38.10,42.12,56.18,58.17,15.46,15.46,15.46,34.02,34.02,34.02,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,15.68,17.33,23.10,23.93,12.38,12.38,12.38,27.23,27.23,27.23,32.93,36.40,48.54,50.27,13.37,13.37,13.37,29.40,29.40,29.40,21.15,23.38,16.93,18.71,24.95,12.54,12.54,20.38,22.52,30.03,31.10,16.50,16.50,16.50
Shortsword,17.39,19.22,25.62,26.54,13.73,13.73,13.73,30.20,30.20,30.20,21.72,24.01,32.03,33.16,17.15,17.15,17.15,37.73,37.73,37.73,24.34,26.90,35.87,37.15,19.22,19.22,19.22,42.27,42.27,42.27,17.39,19.22,25.62,26.54,13.73,13.73,13.73,30.20,30.20,30.20,18.78,20.75,27.67,28.66,14.82,14.82,14.82,32.61,32.61,32.61,23.46,25.93,18.78,20.75,27.67,13.91,13.91,22.60,24.98,33.31,34.50,18.30,18.30,18.30
Shotel,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,23.50,25.98,34.65,35.88,18.55,18.55,18.55,40.83,40.83,40.83,26.33,29.11,38.81,40.19,20.79,20.79,20.79,45.74,45.74,45.74,18.81,20.79,27.72,28.71,14.85,14.85,14.85,32.67,32.67,32.67,20.31,22.45,29.94,31.01,16.04,16.04,16.04,35.28,35.28,35.28,25.38,28.06,20.31,22.45,29.94,15.05,15.05,24.45,27.03,36.04,37.32,19.80,19.80,19.80
Silver Eagle Kite Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Silverblack Shield,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,27.42,30.31,40.43,41.86,21.64,21.64,21.64,47.63,47.63,47.63,30.72,33.96,45.28,46.89,24.26,24.26,24.26,53.36,53.36,53.36,21.95,24.26,32.34,33.50,17.33,17.33,17.33,38.12,38.12,38.12,23.70,26.20,34.93,36.17,18.71,18.71,18.71,41.16,41.16,41.16,29.61,32.73,23.70,26.20,34.93,17.56,17.56,28.53,31.53,42.04,43.54,23.10,23.10,23.10
Silverblack Sickle,22.23,24.57,32.76,33.93,17.55,17.55,17.55,38.61,38.61,38.61,27.78,30.70,40.95,42.40,21.93,21.93,21.93,48.25,48.25,48.25,31.12,34.40,45.86,47.50,24.57,24.57,24.57,54.05,54.05,54.05,22.23,24.57,32.76,33.93,17.55,17.55,17.55,38.61,38.61,38.61,24.01,26.54,35.38,36.64,18.95,18.95,18.95,41.70,41.70,41.70,30.00,33.16,24.01,26.54,35.38,17.78,17.78,28.90,31.94,42.59,44.11,23.40,23.40,23.40
Silverblack Spear,25.75,28.46,37.94,39.30,20.33,20.33,20.33,44.72,44.72,44.72,32.17,35.56,47.43,49.11,25.39,25.39,25.39,55.88,55.88,55.88,36.04,39.84,53.12,55.01,28.46,28.46,28.46,62.60,62.60,62.60,25.75,28.46,37.94,39.30,20.33,20.33,20.33,44.72,44.72,44.72,27.80,30.73,40.98,42.44,21.95,21.95,21.95,48.29,48.29,48.29,34.74,38.40,27.80,30.73,40.98,20.60,20.60,33.47,36.99,49.32,51.08,27.10,27.10,27.10
Slumbering Dragon Shield,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,26.59,29.39,39.20,40.59,20.99,20.99,20.99,46.19,46.19,46.19,29.79,32.93,43.90,45.47,23.52,23.52,23.52,51.74,51.74,51.74,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,22.98,25.40,33.87,35.08,18.14,18.14,18.14,39.92,39.92,39.92,28.72,31.74,22.98,25.40,33.87,17.02,17.02,27.66,30.58,40.77,42.22,22.40,22.40,22.40
Small Leather Shield,14.06,15.54,20.72,21.46,11.10,11.10,11.10,24.42,24.42,24.42,17.57,19.42,25.90,26.82,13.87,13.87,13.87,30.52,30.52,30.52,19.68,21.76,29.01,30.04,15.54,15.54,15.54,34.19,34.19,34.19,14.06,15.54,20.72,21.46,11.10,11.10,11.10,24.42,24.42,24.42,15.18,16.78,22.38,23.18,11.99,11.99,11.99,26.37,26.37,26.37,18.97,20.97,15.18,16.78,22.38,11.25,11.25,18.28,20.20,26.94,27.90,14.80,14.80,14.80
Smelter Hammer,40.95,45.26,60.34,62.50,32.33,32.33,32.33,71.12,71.12,71.12,51.16,56.55,75.43,78.10,40.38,40.38,40.38,88.87,88.87,88.87,57.32,63.36,84.48,87.49,45.26,45.26,45.26,99.56,99.56,99.56,40.95,45.26,60.34,62.50,32.33,32.33,32.33,71.12,71.12,71.12,44.22,48.88,65.17,67.49,34.91,34.91,34.91,76.80,76.80,76.80,55.25,61.07,44.22,48.88,65.17,32.76,32.76,53.23,58.83,78.44,81.24,43.10,43.10,43.10
Smelter Sword,30.78,34.02,72.90,80.19,24.30,24.30,32.40,64.80,64.80,64.80,38.48,42.53,91.13,100.24,30.38,30.38,40.50,81.00,81.00,81.00,38.48,42.53,91.13,100.24,30.38,30.38,40.50,81.00,81.00,81.00,38.48,42.53,91.13,100.24,30.38,30.38,40.50,81.00,81.00,81.00,30.78,34.02,72.90,80.19,24.30,24.30,32.40,64.80,64.80,64.80,42.53,60.75,30.78,34.02,48.60,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40,32.40
Sorcerer's Staff,22.14,24.47,24.50,25.38,13.13,13.13,13.13,28.88,28.88,28.88,27.66,30.57,30.63,31.71,16.40,16.40,16.40,36.09,36.09,36.09,23.28,25.73,34.30,35.53,18.38,18.38,18.38,40.43,40.43,40.43,16.63,18.38,24.50,25.38,13.13,13.13,13.13,28.88,28.88,28.88,23.91,26.42,26.46,27.41,14.18,14.18,14.18,31.19,31.19,31.19,22.44,24.80,17.96,19.85,26.46,13.30,13.30,21.61,23.89,31.85,32.99,17.50,17.50,17.50
Sorcerer's Twinblade,27.55,30.45,40.60,42.05,21.75,21.75,21.75,47.85,47.85,47.85,34.42,38.05,50.75,52.55,27.17,27.17,27.17,59.80,59.80,59.80,38.57,42.63,56.84,58.87,30.45,30.45,30.45,66.99,66.99,66.99,27.55,30.45,40.60,42.05,21.75,21.75,21.75,47.85,47.85,47.85,29.75,32.89,43.85,45.41,23.49,23.49,23.49,51.68,51.68,51.68,37.18,41.09,29.75,32.89,21.92,22.04,22.04,35.82,39.59,52.78,54.67,29.00,29.00,29.00
Spear,21.09,23.31,31.08,32.19,16.65,16.65,16.65,36.63,36.63,36.63,26.35,29.13,38.85,40.23,20.80,20.80,20.80,45.78,45.78,45.78,29.53,32.63,43.51,45.07,23.31,23.31,23.31,51.28,51.28,51.28,21.09,23.31,31.08,32.19,16.65,16.65,16.65,36.63,36.63,36.63,22.78,25.17,33.57,34.77,17.98,17.98,17.98,39.56,39.56,39.56,28.46,31.46,22.78,25.17,33.57,16.87,16.87,27.42,30.30,40.40,41.85,22.20,22.20,22.20
Spider Fang,20.90,23.10,30.80,31.90,16.50,16.50,16.50,36.30,36.30,36.30,26.11,28.86,38.50,39.86,20.61,20.61,20.61,45.36,45.36,45.36,29.26,32.34,43.12,44.66,23.10,23.10,23.10,50.82,50.82,50.82,20.90,23.10,30.80,31.90,16.50,16.50,16.50,36.30,36.30,36.30,22.57,24.95,33.26,34.45,17.82,17.82,17.82,39.20,39.20,39.20,28.20,31.17,22.57,24.95,33.26,16.72,16.72,27.17,30.03,40.04,41.47,22.00,22.00,22.00
Spider's Silk,21.47,23.73,31.64,32.77,16.95,16.95,16.95,37.29,37.29,37.29,26.83,29.65,39.55,40.95,21.18,21.18,21.18,46.60,46.60,46.60,30.06,33.22,44.30,45.88,23.73,23.73,23.73,52.21,52.21,52.21,21.47,23.73,31.64,32.77,16.95,16.95,16.95,37.29,37.29,37.29,23.19,25.63,34.17,35.39,18.31,18.31,18.31,40.27,40.27,40.27,28.97,32.02,23.19,25.63,34.17,17.18,17.18,27.91,30.85,41.13,42.60,22.60,22.60,22.60
Spirit Tree Shield,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,26.59,29.39,39.20,40.59,20.99,20.99,20.99,46.19,46.19,46.19,29.79,32.93,43.90,45.47,23.52,23.52,23.52,51.74,51.74,51.74,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,22.98,25.40,33.87,35.08,18.14,18.14,18.14,39.92,39.92,39.92,28.72,31.74,22.98,25.40,33.87,17.02,17.02,27.66,30.58,40.77,42.22,22.40,22.40,22.40
Spitfire Spear,25.18,27.83,37.10,38.43,19.88,19.88,19.88,43.73,43.73,43.73,31.46,34.77,46.38,48.02,24.83,24.83,24.83,54.64,54.64,54.64,35.25,38.96,51.94,53.80,27.83,27.83,27.83,61.22,61.22,61.22,25.18,27.83,37.10,38.43,19.88,19.88,19.88,43.73,43.73,43.73,27.19,30.05,40.07,41.50,21.47,21.47,21.47,47.22,47.22,47.22,33.97,37.55,27.19,30.05,40.07,20.14,20.14,32.73,36.17,48.23,49.95,26.50,26.50,26.50
Spotted Whip,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,28.01,30.96,41.30,42.76,22.11,22.11,22.11,48.66,48.66,48.66,31.39,34.69,46.26,47.91,24.78,24.78,24.78,54.52,54.52,54.52,22.42,24.78,33.04,34.22,17.70,17.70,17.70,38.94,38.94,38.94,24.21,26.76,35.68,36.96,19.12,19.12,19.12,42.06,42.06,42.06,30.26,33.44,24.21,26.76,35.68,17.94,17.94,29.15,32.21,42.95,44.49,23.60,23.60,23.60
Staff of Amana,24.99,27.62,27.58,28.57,14.78,14.78,14.78,32.51,32.51,32.51,31.22,34.51,34.48,35.70,18.46,18.46,18.46,40.62,40.62,40.62,26.20,28.96,38.61,39.99,20.69,20.69,20.69,45.51,45.51,45.51,18.72,20.69,27.58,28.57,14.78,14.78,14.78,32.51,32.51,32.51,26.98,29.82,29.79,30.85,15.96,15.96,15.96,35.11,35.11,35.11,25.26,27.91,20.21,22.34,29.79,14.97,14.97,24.33,26.89,35.85,37.13,19.70,19.70,19.70
Staff of Wisdom,26.89,29.72,35.70,36.98,19.13,19.13,19.13,42.08,42.08,42.08,33.59,37.13,44.63,46.21,23.89,23.89,23.89,52.58,52.58,52.58,33.92,37.49,49.98,51.77,26.78,26.78,26.78,58.91,58.91,58.91,24.23,26.78,35.70,36.98,19.13,19.13,19.13,42.08,42.08,42.08,29.04,32.09,38.56,39.93,20.66,20.66,20.66,45.44,45.44,45.44,32.69,36.13,26.16,28.92,38.56,19.38,19.38,31.49,34.81,46.41,48.07,25.50,25.50,25.50
Stone Parma,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,26.59,29.39,39.20,40.59,20.99,20.99,20.99,46.19,46.19,46.19,29.79,32.93,43.90,45.47,23.52,23.52,23.52,51.74,51.74,51.74,21.28,23.52,31.36,32.48,16.80,16.80,16.80,36.96,36.96,36.96,22.98,25.40,33.87,35.08,18.14,18.14,18.14,39.92,39.92,39.92,28.72,31.74,22.98,25.40,33.87,17.02,17.02,27.66,30.58,40.77,42.22,22.40,22.40,22.40
Stone Soldier Spear,29.07,32.13,42.84,44.37,22.95,22.95,22.95,50.49,50.49,50.49,36.32,40.15,53.55,55.45,28.67,28.67,28.67,63.10,63.10,63.10,40.70,44.98,59.98,62.12,32.13,32.13,32.13,70.69,70.69,70.69,29.07,32.13,42.84,44.37,22.95,22.95,22.95,50.49,50.49,50.49,31.40,34.70,46.27,47.92,24.79,24.79,24.79,54.53,54.53,54.53,39.23,43.36,31.40,34.70,46.27,23.26,23.26,37.79,41.77,55.69,57.68,30.60,30.60,30.60
Stone Twinblade,29.45,32.55,43.40,44.95,23.25,23.25,23.25,51.15,51.15,51.15,36.80,40.67,54.25,56.17,29.05,29.05,29.05,63.92,63.92,63.92,41.23,45.57,60.76,62.93,32.55,32.55,32.55,71.61,71.61,71.61,29.45,32.55,43.40,44.95,23.25,23.25,23.25,51.15,51.15,51.15,31.81,35.15,46.87,48.55,25.11,25.11,25.11,55.24,55.24,55.24,39.74,43.93,31.81,35.15,46.87,23.56,23.56,38.29,42.32,56.42,58.44,31.00,31.00,31.00
Sun Sword,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,24.93,27.55,36.75,38.05,19.68,19.68,19.68,43.30,43.30,43.30,27.93,30.87,41.16,42.63,22.05,22.05,22.05,48.51,48.51,48.51,19.95,22.05,29.40,30.45,15.75,15.75,15.75,34.65,34.65,34.65,21.55,23.81,31.75,32.89,17.01,17.01,17.01,37.42,37.42,37.42,26.92,29.76,21.55,23.81,31.75,15.96,15.96,25.94,28.67,38.22,39.59,21.00,21.00,21.00
Sunlight Parma,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,19.94,22.04,29.40,30.44,15.74,15.74,15.74,34.64,34.64,34.64,22.34,24.70,32.93,34.10,17.64,17.64,17.64,38.81,38.81,38.81,15.96,17.64,23.52,24.36,12.60,12.60,12.60,27.72,27.72,27.72,17.24,19.05,25.40,26.31,13.61,13.61,13.61,29.94,29.94,29.94,21.54,23.81,17.24,19.05,25.40,12.77,12.77,20.75,22.93,30.58,31.67,16.80,16.80,16.80
Sunset Staff,26.89,29.72,34.16,35.38,18.30,18.30,18.30,40.26,40.26,40.26,33.59,37.13,42.70,44.21,22.86,22.86,22.86,50.31,50.31,50.31,32.45,35.87,47.82,49.53,25.62,25.62,25.62,56.36,56.36,56.36,23.18,25.62,34.16,35.38,18.30,18.30,18.30,40.26,40.26,40.26,29.04,32.09,36.89,38.21,19.76,19.76,19.76,43.48,43.48,43.48,31.28,34.57,25.03,27.67,36.89,18.54,18.54,30.13,33.31,44.41,45.99,24.40,24.40,24.40
Syan's Halberd,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,38.22,42.25,56.35,58.35,30.17,30.17,30.17,66.40,66.40,66.40,42.83,47.33,63.11,65.37,33.81,33.81,33.81,74.38,74.38,74.38,30.59,33.81,45.08,46.69,24.15,24.15,24.15,53.13,53.13,53.13,33.04,36.51,48.69,50.43,26.08,26.08,26.08,57.38,57.38,57.38,41.28,45.63,33.04,36.51,48.69,24.47,24.47,39.77,43.95,58.60,60.70,32.20,32.20,32.20
Target Shield,13.68,15.12,20.16,20.88,10.80,10.80,10.80,23.76,23.76,23.76,17.09,18.89,25.20,26.09,13.49,13.49,13.49,29.69,29.69,29.69,19.15,21.17,28.22,29.23,15.12,15.12,15.12,33.26,33.26,33.26,13.68,15.12,20.16,20.88,10.80,10.80,10.80,23.76,23.76,23.76,14.77,16.33,21.77,22.55,11.66,11.66,11.66,25.66,25.66,25.66,18.46,20.40,14.77,16.33,21.77,10.94,10.94,17.78,19.66,26.21,27.14,14.40,14.40,14.40
